#Timestep Temperature Volume Potential_Energy Total_Energy Pressure
0 2.5 4251.528 -860.159996962435 -860.077593619997 23.4292266124254
1000 2.71906720016339 4251.528 -860.095389055007 -860.005764964764 61.1226587519904
2000 2.51380782649546 4251.528 -860.080370448912 -859.997511982052 61.8186645850606
3000 2.40854124392847 4251.528 -860.071774765702 -859.992386026142 61.1921750263089
4000 2.24897614368242 4251.528 -860.061906715071 -859.987777454551 69.3949012006718
5000 2.8510088800309 4251.528 -860.081087234868 -859.987114170454 66.7981221957732
6000 2.64161892009875 4251.528 -860.078316098907 -859.991244807522 62.6204041152775
7000 2.32445553325163 4251.528 -860.078004590373 -860.001387428258 60.1727155953285
8000 2.24602463096349 4251.528 -860.075531679651 -860.001499704936 62.1373012264922
9000 2.36380069891416 4251.528 -860.072073919092 -859.994159887713 60.6242338278147
10000 2.61745015469808 4251.528 -860.075511463882 -859.989236807317 66.7311319927773
10000 2.61745015469808 4251.528 -860.075511463882 -859.989236807317 66.7311319927769
11000 2.74489103222995 4251.34715614155 -860.053763306977 -859.963288028704 111.266880826687
12000 3.74554065098232 4253.26310005149 -860.030491287344 -859.907033259793 -223.426311624064
13000 5.44786009401763 4259.41975647323 -859.99672263304 -859.817153880689 -1328.21558510832
14000 6.60804828454211 4263.87874896471 -859.896720464821 -859.678910358567 -2111.97607960671
15000 8.84300620038525 4253.15951693034 -859.782456342976 -859.490979035733 -47.6024029852768
16000 13.2113062763408 4242.4864550886 -859.629317259155 -859.193854941101 2035.31499667301
17000 20.3854939959084 4240.52227680167 -859.435279842309 -858.763346705308 2547.88912809528
18000 30.760781643027 4247.87110786761 -859.158441580536 -858.144525091186 1389.75709902437
19000 44.4787867780639 4247.16321910492 -858.69672177195 -857.230641492719 1892.69062180945
20000 63.3931107966733 4244.37821614202 -858.005153747725 -855.915632060862 2930.47577219954
21000 86.8415913164496 4273.38956980104 -856.987307323346 -854.124892368519 -1697.0816574823
22000 129.712375973766 4261.87708848831 -856.017772734082 -851.742279399783 1417.59279586861
23000 178.245994961229 4292.73614197826 -854.668741899131 -848.79351559477 -3302.38818041074
24000 213.650507924817 4296.1085784184 -852.552355303826 -845.510148917236 -1808.81349455795
25000 269.815058513761 4300.05246510918 -851.404369777032 -842.510904712431 -1186.27781931441
26000 301.907440798732 4310.33881213852 -850.498225598399 -840.546952706972 -2273.01819247206
27000 289.841040839156 4300.60957368055 -849.605919721398 -840.052371505114 236.046271177923
28000 283.273320379111 4306.85359668512 -849.816090619007 -840.479023249964 -1366.14271381455
29000 303.817567662456 4292.13557629107 -850.363958203379 -840.349724976731 1295.75383272812
30000 313.905703000228 4297.15260649826 -849.109125456213 -838.762373801248 1514.09883220765
31000 356.100871768841 4321.6833549071 -848.003243399667 -836.265682568203 -1831.8496717704
32000 358.373118815762 4310.77401692562 -845.810635543275 -833.998178411207 2218.31862069982
33000 415.004639692013 4350.72336202536 -846.676562933281 -832.997455158204 -5587.13937221242
34000 395.808237028873 4336.77477653117 -845.900691448004 -832.854322769815 -3025.16383960329
35000 404.345380205329 4337.95223015073 -846.191831004943 -832.86406667371 -2865.11866631041
36000 375.676288938835 4327.54283249371 -844.329844440143 -831.947051686912 488.988279857367
37000 434.329175227714 4321.23354718004 -844.260764850399 -829.944694547645 2591.12397729954
38000 475.715317440681 4316.77252477029 -843.010328090446 -827.330115208115 4283.15034751536
39000 532.796042401514 4354.06872772839 -843.29954407777 -825.737874185227 -2016.96452870578
40000 521.186908163397 4320.8682092466 -842.495129368513 -825.316112061581 4928.99093415708
41000 495.129261774985 4344.23049745402 -842.062931099349 -825.742808655801 418.384349746513
42000 511.63284184327 4307.1403164863 -841.931828477985 -825.067725970512 7529.63054200686
43000 560.454913260076 4287.18669108681 -841.347416442042 -822.874073186782 12630.7173303538
44000 586.731252614866 4384.47657791703 -839.9800916312 -820.640645099997 -4496.83481082036
45000 599.780153704162 4415.89607588303 -838.180549914093 -818.410994156933 -6936.07207284172
46000 629.473889369085 4368.40068939404 -838.709884866006 -817.961583881548 738.081598611928
47000 599.906807109526 4352.83884732638 -837.787972772437 -818.014242349703 3951.07844708379
48000 615.563472326583 4362.35607805167 -838.142015038758 -817.8522199979 2095.88136476925
49000 582.113144551384 4384.08801519699 -835.866430715167 -816.679203200032 154.995991067955
50000 644.387585360231 4373.93342618032 -835.407259849274 -814.167383505709 3562.22440240756
51000 699.459192033069 4400.24429509963 -834.439566980459 -811.384456851596 -309.35694726817
52000 690.410206851118 4422.44419595018 -833.176848471335 -810.420004992336 -1985.49645019865
53000 728.717052130221 4386.06816074919 -834.372982517454 -810.353494202761 3296.14235983704
54000 709.49636440679 4415.91829802641 -833.525540219167 -810.139591469418 -1903.13923767764
55000 787.515416388001 4414.11164756176 -835.405800004024 -809.448238991451 -3161.09221118771
56000 773.145951376248 4413.97155559911 -832.406479119596 -806.922554885427 299.868666476012
57000 805.353520759194 4460.26819326655 -831.37797133093 -804.832442549183 -6414.55357177139
58000 812.304277981862 4432.20986731492 -830.181381288836 -803.406746256041 -1027.86645186706
59000 834.703980763469 4447.49186481125 -829.969373869719 -802.4564146854 -1389.92386588664
60000 791.458464605517 4436.37706317097 -827.895120915341 -801.807591761762 1506.33461241125
61000 864.48019186456 4418.59021138645 -829.548573689917 -801.054150777656 3009.74446608438
62000 935.703372913703 4439.35504068072 -830.669458677204 -799.827424493951 -2090.76461468488
63000 895.185091803377 4458.07203593655 -827.69510011724 -798.188602651312 -1488.59523389675
64000 907.269371893739 4488.07588937791 -825.70550697633 -795.800695482244 -4427.97953398721
65000 967.266599930997 4417.94100973924 -826.388469947149 -794.506069602161 7565.75405744547
66000 927.199049260492 4500.36337846259 -823.934482173412 -793.372761867838 -2686.13702558496
67000 963.654373583292 4505.47566205818 -825.075283879845 -793.311947344734 -6279.81485294582
68000 955.801627931462 4485.40732796022 -824.463789812035 -792.959290272532 -2034.76471558881
69000 981.151518299097 4497.02732976802 -823.41647103424 -791.07640521605 -2787.69513783259
70000 979.88991107061 4530.02556652609 -819.93355304773 -787.635071490529 -3774.76032079983
71000 1068.21694619302 4477.18451783315 -821.412291658898 -786.202432933024 4569.67927742922
72000 1046.12623104392 4520.04711633785 -819.587059745172 -785.105340525346 -2152.98927931515
73000 1103.78637530687 4567.26309451499 -820.648556460865 -784.266281795961 -9403.60404785792
74000 982.361500638106 4560.24624838444 -815.24436319646 -782.86441474266 -4374.41191158374
75000 1117.89968815414 4539.90633309734 -819.3298295939 -782.482361268404 -2298.63034483221
76000 1109.78546680358 4576.82563720932 -817.480947188241 -780.90093444697 -7984.39748134529
77000 1067.39785398468 4552.43858688368 -813.949805651704 -778.766945300123 -251.5698048148
78000 1127.48022270643 4577.09314072833 -812.932152569738 -775.768897016463 -2962.66836536304
79000 1198.53282904619 4534.40997272511 -814.617208219861 -775.11196376607 1386.56543100986
80000 1123.56707634635 4579.17786990694 -812.381708273476 -775.347435256008 -1764.06473756869
81000 1197.94667095564 4534.02143520791 -814.03669509164 -774.550771192192 4080.87716725612
82000 1147.9345395814 4557.53691996684 -811.176549269413 -773.339092085029 2368.73287334216
83000 1106.58395907918 4656.30062518043 -804.954481409371 -768.479994643032 -2903.42244242796
84000 1282.48916247504 4573.236242535 -808.487700631007 -766.215143179881 3417.34146237583
85000 1329.44991239839 4657.54731733001 -807.984747685502 -764.164301131555 -7817.46733336518
86000 1198.71492172548 4656.82199824184 -802.896760969317 -763.385514497363 -1248.75419150817
87000 1275.50303694132 4630.0661817849 -807.40627086371 -765.363985450451 -2102.16892844357
88000 1251.74643797061 4606.67168135877 -807.359216211267 -766.099980062062 1420.29276541753
89000 1232.34193446776 4571.79462906917 -805.112797023125 -764.493159252709 10360.7556255646
90000 1221.06093829879 4628.13004143615 -799.831521774897 -759.583720720621 6272.13347544919
91000 1291.20148649514 4641.67614782377 -797.577641812399 -755.017914513411 5972.50464074786
92000 1348.38451414993 4647.51987645783 -798.596586515087 -754.152030172319 2485.48156431014
93000 1200.77341987616 4788.8629956181 -791.939360686114 -752.360263362952 -3099.09282709524
94000 1141.04444486786 4864.13178624886 -781.565683143302 -743.955332692561 1391.79718133098
95000 1345.14608648672 4904.62055333864 -781.767365608653 -737.429552171362 -3248.86656269027
96000 1373.48628653277 4869.1708995317 -775.650099167192 -730.378154846244 7062.69557016709
97000 1357.74807402158 5031.3579146678 -768.576792674061 -723.823600879078 -4351.6847530211
